iter	Passed	Remaining
0	2	2117
1	3	1974
2	5	1880
3	7	1830
4	9	1802
5	10	1781
6	12	1762
7	15	1888
8	16	1863
9	18	1843
10	20	1828
11	22	1821
12	23	1805
13	25	1797
14	27	1829
15	29	1834
16	31	1824
17	34	1867
18	37	1915
19	39	1914
20	41	1917
21	42	1908
22	44	1901
23	47	1943
24	49	1942
25	51	1933
26	53	1930
27	55	1927
28	57	1922
29	60	1963
30	62	1965
31	65	1974
32	67	1964
33	68	1952
34	70	1943
35	72	1938
36	74	1927
37	76	1926
38	78	1928
39	79	1910
40	81	1901
41	82	1891
42	84	1886
43	86	1877
44	88	1869
45	91	1890
46	93	1890
47	96	1914
48	99	1926
49	101	1923
50	103	1923
51	105	1919
52	106	1911
53	108	1905
54	110	1899
55	112	1894
56	115	1903
57	116	1895
58	117	1876
59	119	1867
60	120	1862
61	122	1853
62	124	1847
63	125	1838
64	127	1831
65	128	1823
66	130	1817
67	132	1813
68	134	1812
69	135	1806
70	137	1799
71	139	1792
72	140	1786
73	142	1780
74	143	1773
75	145	1767
76	146	1761
77	148	1755
78	150	1750
79	151	1745
80	153	1739
81	154	1734
82	156	1728
83	158	1723
84	159	1717
85	160	1710
86	162	1705
87	164	1700
88	165	1695
89	167	1690
90	170	1705
91	172	1702
92	174	1698
93	175	1695
94	177	1691
95	179	1686
96	180	1681
97	181	1671
98	183	1667
99	184	1663
100	186	1659
101	187	1653
102	189	1650
103	191	1646
104	192	1642
105	194	1641
106	196	1638
107	197	1634
108	199	1631
109	201	1627
110	202	1624
111	204	1620
112	205	1616
113	207	1612
114	209	1608
115	210	1604
116	212	1601
117	213	1597
118	215	1593
119	216	1589
120	218	1585
121	219	1581
122	221	1578
123	222	1574
124	224	1571
125	225	1567
126	227	1564
127	229	1560
128	230	1557
129	231	1552
130	233	1548
131	235	1545
132	236	1542
133	238	1539
134	239	1536
135	241	1533
136	242	1530
137	244	1527
138	245	1522
139	247	1519
140	248	1516
141	250	1513
142	252	1510
143	253	1507
144	255	1503
145	256	1500
146	258	1498
147	259	1495
148	261	1492
149	262	1489
150	264	1486
151	265	1483
152	267	1481
153	269	1478
154	270	1474
155	271	1468
156	273	1466
157	274	1464
158	276	1462
159	278	1459
160	279	1457
161	281	1454
162	282	1452
163	284	1449
164	287	1453
165	289	1452
166	291	1452
167	292	1450
168	294	1446
169	295	1444
170	298	1444
171	299	1443
172	301	1442
173	303	1440
174	305	1438
175	306	1436
176	309	1439
177	311	1438
178	313	1436
179	315	1437
180	317	1436
181	319	1436
182	321	1437
183	323	1436
184	325	1434
185	327	1432
186	329	1431
187	331	1429
188	332	1428
189	335	1429
190	337	1427
191	338	1425
192	340	1424
193	342	1422
194	344	1420
195	345	1418
196	347	1416
197	349	1413
198	350	1412
199	352	1410
200	354	1407
201	355	1405
202	357	1403
203	359	1401
204	361	1400
205	363	1399
206	364	1397
207	366	1396
208	368	1394
209	370	1393
210	371	1390
211	375	1395
212	377	1395
213	379	1394
214	381	1393
215	383	1392
216	385	1390
217	388	1394
218	390	1394
219	392	1393
220	394	1391
221	400	1403
222	402	1402
223	404	1400
224	405	1398
225	407	1396
226	409	1394
227	411	1392
228	413	1390
229	414	1389
230	416	1386
231	418	1384
232	420	1383
233	421	1381
234	423	1380
235	425	1378
236	427	1376
237	429	1375
238	431	1375
239	433	1374
240	435	1372
241	439	1376
242	441	1375
243	443	1373
244	445	1372
245	447	1371
246	449	1369
247	451	1368
248	452	1365
249	454	1363
250	456	1361
251	458	1359
252	459	1357
253	461	1355
254	463	1354
255	466	1355
256	468	1355
257	470	1354
258	473	1353
259	475	1352
260	477	1350
261	479	1349
262	482	1351
263	484	1350
264	486	1348
265	487	1346
266	489	1345
267	491	1342
268	493	1340
269	495	1339
270	497	1338
271	500	1339
272	502	1338
273	504	1336
274	506	1334
275	508	1333
276	509	1330
277	511	1329
278	513	1328
279	516	1327
280	518	1326
281	520	1325
282	522	1324
283	524	1323
284	527	1322
285	531	1326
286	533	1324
287	535	1322
288	536	1320
289	538	1318
290	540	1315
291	541	1313
292	543	1311
293	545	1309
294	547	1308
295	548	1305
296	550	1303
297	552	1300
298	553	1298
299	555	1295
300	556	1293
301	558	1290
302	560	1288
303	561	1286
304	563	1283
305	564	1281
306	566	1278
307	568	1276
308	569	1274
309	571	1271
310	572	1269
311	574	1267
312	576	1264
313	577	1262
314	579	1259
315	580	1257
316	582	1255
317	584	1252
318	585	1250
319	587	1248
320	588	1245
321	590	1243
322	592	1240
323	593	1238
324	595	1236
325	596	1234
326	598	1231
327	599	1229
328	601	1226
329	602	1224
330	604	1221
331	606	1219
332	607	1217
333	609	1214
334	610	1212
335	612	1210
336	614	1208
337	615	1205
338	617	1203
339	619	1201
340	620	1199
341	622	1196
342	623	1194
343	625	1192
344	626	1190
345	628	1187
346	629	1185
347	631	1183
348	632	1180
349	634	1178
350	635	1175
351	637	1173
352	639	1171
353	640	1168
354	642	1166
355	643	1164
356	645	1163
357	647	1161
358	649	1159
359	651	1157
360	653	1155
361	654	1154
362	656	1152
363	658	1150
364	659	1147
365	661	1145
366	664	1146
367	666	1144
368	668	1142
369	669	1140
370	671	1137
371	672	1135
372	674	1133
373	676	1131
374	677	1129
375	679	1127
376	680	1125
377	682	1122
378	683	1120
379	685	1118
380	686	1115
381	688	1113
382	689	1111
383	691	1109
384	692	1106
385	694	1104
386	695	1102
387	697	1099
388	698	1097
389	700	1095
390	701	1093
391	703	1090
392	704	1088
393	706	1086
394	707	1083
395	709	1081
396	710	1079
397	712	1077
398	712	1073
399	714	1071
400	715	1069
401	717	1067
402	718	1064
403	720	1062
404	721	1060
405	723	1058
406	724	1056
407	726	1053
408	727	1051
409	729	1049
410	730	1047
411	732	1045
412	733	1042
413	735	1040
414	736	1038
415	738	1036
416	740	1034
417	741	1032
418	743	1030
419	745	1028
420	746	1026
421	748	1024
422	749	1023
423	751	1021
424	753	1019
425	754	1016
426	756	1015
427	757	1012
428	759	1010
429	760	1008
430	762	1006
431	764	1004
432	765	1002
433	766	1000
434	768	998
435	770	996
436	771	993
437	773	991
438	775	990
439	776	988
440	778	986
441	779	984
442	781	982
443	783	980
444	784	978
445	786	976
446	787	974
447	789	972
448	791	971
449	796	972
450	798	971
451	799	969
452	801	967
453	802	965
454	805	965
455	808	964
456	810	962
457	812	961
458	815	960
459	817	960
460	819	958
461	821	956
462	823	954
463	825	953
464	826	951
465	828	949
466	830	947
467	832	946
468	834	944
